月份,股票代號,股票名稱,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
"11405","062965","瑞昱元大46購05","0.31","0.20","0.29","3","35600","120000","3.52"
"11405","062966","台光電元大46購11","5.50","2.07","3.75","52","3015930","804000","16.08"
"11405","062967","正崴元大4B購02","0.32","0.26","0.29","9","85680","286000","5.72"
"11405","062968","漢唐元大46購07","0.20","0.02","0.11","9","27300","242000","8.96"
"11405","062969","聯發科元大46購12","0.16","0.01","0.10","10","18450","170000","3.40"
"11405","06296P","FBNQ2X國票46售02","1.61","1.06","1.43","20","504360","351000","70.20"
"11405","062970","聯發科元大46購13","0.11","0.05","0.06","8","17000","250000","5.00"
"11405","062972","立隆電元大46購02","0.85","0.41","0.62","68","1832090","2938000","104.92"
"11405","062973","長榮元大46購27","2.61","0.56","1.41","65","2363140","1671000","64.26"
"11405","062974","長榮元大46購28","1.67","0.54","0.88","16","67340","76000","1.52"
"11405","062975","陽明元大46購19","0.43","0.30","0.38","8","21010","54000","1.08"
"11405","062976","華航元大46購07","0.56","0.19","0.37","35","226810","607000","23.34"
"11405","062977","華航元大4B購02","1.67","1.16","1.40","176","4758490","3393000","130.50"
"11405","062978","長榮航元大46購20","0.95","0.35","0.65","70","1818040","2780000","106.92"
"11405","062979","長榮航元大46購21","0.50","0.26","0.40","18","164860","403000","15.50"
"11405","06297P","FBNQ2X國票47售02","2.81","1.10","1.52","65","883960","579000","115.80"
"11405","062982","威強電元大46購04","1.38","0.69","0.75","16","121780","161000","3.22"
"11405","062986","世芯元大46購24","0.24","0.08","0.20","10","105250","520000","10.40"
"11405","062989","康舒元大46購05","0.45","0.10","0.23","99","1146420","4784000","95.68"
"11405","06298P","FBNQ2X國票48售02","3.50","1.90","2.86","24","545120","190000","23.75"
"11405","062990","保瑞元大46購12","0.53","0.37","0.49","19","429200","866000","17.32"
